Area Buffer/hectar,Comercial,,,,Mixed Use,,,,Residencial,,,,,,,,,,,,,
113.072474,C-COR1 ,,C-COR2,,MU-1,,MU-2,,M-H1,,M-H2,,M-H3,,M-X1,,M-X2,,,,Average TOD Zoning/Station,2.45397445
100,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,,Rank,,Total % Supporting Zoning
45 Street SW Station,0,0,0,0,1.055514,0.933484484,0,0.825562978,0,0,0,0,0,0,0,0,0,0,,1,City Hall Station,0
Sirocco Station,0,0,0,0,0.503552,0.445335617,0,0.393849716,0,0,0,0,0,0,0,0,0,0,,2,1st Street SW Station,0
City Hall Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,Fish Creek - Lacombe Station,0
1st Street SW Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,Centre Street Station,0
Dalhousie Station,0,0,0,0,0,0,0,0,1.588261,1.404639824,2.703275,2.390745426,0.690688,0.610836551,0,0,0,0,,5,8th Street SW Station,0
Southland Station,0.176003,0.155655036,0.819596,0.724841308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,69 Street SW Station,0
Fish Creek - Lacombe Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,Canyon Meadows Station,0
Centre Street Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,Barlow/Max Bell Station,0
Bridgeland Station,0.010445,0.009237438,0,0,5.740231,5.076594503,3.098699,4.489681992,0,0,0,0,0,0,0,0,0,0,,9,City Hall Station,0
8th Street SW Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Whitehorn Station,0
Marlborough Station,0,0,2.700325,2.38813648,0,0,0,0,0.416184,0.368068359,0,0,0,0,0,0,0,0,,11,Martindale Station,0
69 Street SW Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7th Street SW Station,0
Sunalta Station,1.228676,1.086626972,0.495076,0.43783954,0,0,0,0,8.193788,7.246492192,0,0,0,0,0,0,0,0,,13,Anderson Station,0
Lions Park Station,0,0,3.555878,3.144777747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,6th Street SW Station,0
Sunnyside Station,5.046489,4.46305703,0.439492,0.388681687,0,0,0.115183,0,0,0,0,0,0,0,0,0,0,0,,15,Shawnessy Station,0
Canyon Meadows Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,4th Street SW Station,0
Barlow/Max Bell Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,Somerset-Bridlewood Station,0
City Hall Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,McKnight Westwinds Station,0
Downtown West - Kerby Station,1.788901,1.582083541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,3rd Street SW Station,0
Whitehorn Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,University Station,0.36941263
Martindale Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,Saddletowne Station,0.44739708
Erlton/Stampede Station,0,0,0,0,0,0,0.006508,0,0.135556,0.119884173,3.507952,3.102392542,0.14362,0.127015882,0.227916,0.201566298,0,0,,22,Crowfoot Station,0.639550878
SAIT/ACAD/Jubilee Station,3.314487,2.931294313,1.05654,0.934391866,0,0,0,0,0,0,0,0,0,0,0,0,0.479264,0.423855588,,23,Sirocco Station,0.839185333
